queue_position,video_id,upload_date,final_caption,original_caption,was_translated,views,duration_s,sort_ts
430,7032405835355573510,2021-11-19,Nazaré routine! #skimboard #nazare #portugal #surf #bigrider #diadefuria #wipeout #tiktokradical #fyp #fy,Rotina de Nazaré! #skimboard #nazare #portugal #surf #bigrider #diadefuria #wipeout #tiktokradical #fyp #fy,1,16300,59,1637359578
431,7033155863326035205,2021-11-21,Classic day for skimboard here in Portugal! 🇵🇹🤤#VemComCheetosTikTok #portugal #skimboarding #skim #tiktokradical #fyp,Classic day for skimboard here in Portugal! 🇵🇹🤤#VemComCheetosTikTok #portugal #skimboarding #skim #tiktokradical #fyp,0,78100,38,1637534208
432,7033161799994313989,2021-11-21,Classic shorebreak! #VemComCheetosTikTok #skimboard #tiktokradical #diadefuria #vaibrasil #fyp,Classic shorebreak! #VemComCheetosTikTok #skimboard #tiktokradical #diadefuria #vaibrasil #fyp,0,92400,15,1637535590
433,7033944620165762310,2021-11-24,#agoravocêsabe why I love #skimboard so much! #amemaischallenge #skimboarding #tiktokradical #VemComCheetosTikTok #fyp #portugal @redbullbr,#agoravocêsabe porque eu amo tanto o #skimboard! #amemaischallenge #skimboarding #tiktokradical #VemComCheetosTikTok #fyp #portugal @redbullbr,1,34800,40,1637717854
434,7034628377348705541,2021-11-25,Love your workplace more! #amemaischallenge #skimboard #tiktokradical #ameseubientedetrabalho #fyp #viral,Ame mais seu ambiente de trabalho! #amemaischallenge #skimboard #tiktokradical #ameseubientedetrabalho #fyp #viral,1,15300,17,1637877054
435,7034987632430025989,2021-11-26,#tasabendo ?? Now #brincadeiratemhora and I didn't miss my chance to make the most of it. So #agoravocesabe don't let playtime pass you by,#tasabendo ?? Agora #brincadeiratemhora e eu não perdi a oportunidade de aproveitar ela. Então #agoravocesabe então não deixa passar a hora de brincar,1,94400,19,1637960700
436,7035660796642462981,2021-11-28,Another hill I dropped down on these big wave days here in Nazaré #skimboard #fyp #tiktokradical #surf #bigwavesurfing #viral #agoravocêsabe,Mais uma ladeira que desci nesses dias de ondas grandes aqui em Nazaré #skimboard #fyp #tiktokradical #surf #bigwavesurfing #viral #agoravocêsabe,1,22800,24,1638117433
437,7036139776122080517,2021-11-29,Alive and living 🙏🙌 Filming for my documentary with @redbullbr 👀 #iluminado #lifestyle #nature #portugal,Vivão e vivendo 🙏🙌 Produzindo pro meu documentário com a @redbullbr 👀 #iluminado #lifestyle #nature #portugal,1,22200,15,1638228954
438,7037480391153929478,2021-12-03,Highlights from the Nazaré season! A bit of what I managed to catch here in the motherland! 🇵🇹 🇵🇹🇵🇹!! #skimboard #nazare #highlights #highlight #bigwave,Highlights da temporada de Nazaré! Um pouco doque consegui pegar aqui na terrinha! 🇵🇹 🇵🇹🇵🇹!! #skimboard #nazare #highlights #highlight #bigwave,1,12700,91,1638541091
439,7038179406631734533,2021-12-05,Let's go get them!! #challengepulse #skimboarding #surf #townin #tiktokradical #viral #fyp #embuscadasmaiores,Vamo atrás delas!! #challengepulse #skimboarding #surf #townin #tiktokradical #viral #fyp #embuscadasmaiores,1,36700,26,1638703843
440,7038754063554563334,2021-12-07,This is what #bigrider driving school looks like!!#PassinhoDaAutoEscola #challengepulse #skimboard #treino #fyp #viral,Auto escola de #bigrider é assim!!#PassinhoDaAutoEscola #challengepulse #skimboard #treino #fyp #viral,1,25800,8,1638837640
441,7039290977026067717,2021-12-08,They don't always go the way we expect… #skimboarding #skimboard #nazare #bigwaves #challengepulse #treino,Nem sempre são como a gente espera… #skimboarding #skimboard #nazare #bigwaves #challengepulse #treino,1,24200,12,1638962651
442,7039477813082131718,2021-12-08,Biggest wave of my life!! #bigrider #skimboard #nazare #skimboarding #bigwave #maiordomundo,Maior onda da minha vida! // Biggest wave of my life!! #bigrider #skimboard #nazare #skimboarding #bigwave #maiordomundo,1,25200,22,1639006151
443,7040040218489146630,2021-12-10,"Highlights from the day I caught the biggest wave of my life, and maybe of the world! #maiordomundo #skimboarding #skimboard #bigrider #challengepulse #naza","Highlights do dia que peguei a maior onda da minha vida, e quem sabe do mundo! #maiordomundo #skimboarding #skimboard #bigrider #challengepulse #naza",1,23000,35,1639137098
444,7040560767724260613,2021-12-11,Biggest waves of my life part 2!!! #tiktokawards #homemaranhasemvoltaparacasa #skimboarding #skimboard #desbloqueando #booktokbrasil #viral #fyp,Maiores ondas da minha vida parte 2!!! #tiktokawards #homemaranhasemvoltaparacasa #skimboarding #skimboard #desbloqueando #booktokbrasil #viral #fyp,1,22000,35,1639258296
445,7041167395888696582,2021-12-13,Think I'm happy on a big sea day in Nazaré?? #skimboard #viral #agoravocesabe #tiktokawards #skimboarding #tiktokradical #bigwaves #giant,Será que eu fico feliz em dia de mãe grande em Nazaré?? #skimboard #viral #agoravocesabe #tiktokawards #skimboarding #tiktokradical #bigwaves #giant,1,33700,16,1639399539
446,7041743909436853510,2021-12-15,Got filmed by drone dropping into this bomb 💣 in Nazaré! #skimboard #skimboarding #FysMenosMarketing #tiktokradical #bigwaves,Fui filmado de drone dropandk essa bomba 💣 em Nazaré! #skimboard #skimboarding #FysMenosMarketing #tiktokradical #bigwaves,1,32800,15,1639533769
447,7042705493848067333,2021-12-17,New ride for the crew! #mitsubishi #viatura #FysMenosMarketing #skimboard #offroad #viral #fyp #fy,Viatura nova da tropa! #mitsubishi #viatura #FysMenosMarketing #skimboard #offroad #viral #fyp #fy,1,22500,15,1639757654
448,7043203448636050694,2021-12-19,So good to paddle into some waves too! #oscriasnotiktok #oscriasdotiktok #skimboard #skimboarding #lucasfink #tiktokradical,Bom demais pegar umas ondas na remada também! #oscriasnotiktok #oscriasdotiktok #skimboard #skimboarding #lucasfink #tiktokradical,1,23500,23,1639873594
449,7043557669373824261,2021-12-19,Classic golden hour in Portugal! It was pure 🍯🍯🍯!! #goldenhour #oscriasdotiktok #oscriasnotiktok #skimboard #lucasfink #tiktokradical #viral #fyp,Golden hour clássica em Portugal! Tava um 🍯🍯🍯!! #goldenhour #oscriasdotiktok #oscriasnotiktok #skimboard #lucasfink #tiktokradical #viral #fyp,1,26400,13,1639956067
450,7043911660708416774,2021-12-20,Paddle session here in Portugal! 🇵🇹!! #skimboard #skimboarding #oscriasnotiktok #oscriasdotiktok #tiktokradical #lucasfink,Sessão na remada aqui em Portugal! 🇵🇹!! #skimboard #skimboarding #oscriasnotiktok #oscriasdotiktok #tiktokradical #lucasfink,1,28600,28,1640038487
451,7044566825446690053,2021-12-22,Responder a @im_siowei this is my most viral video on 2021!! #mostviralvideo #2021 #tiktoker #viral #tiktokradical,Responder a @im_siowei this is my most viral video on 2021!! #mostviralvideo #2021 #tiktoker #viral #tiktokradical,0,59500,12,1640191029
452,7044999967961795845,2021-12-23,"Showing my girlfriend my Nazaré routine. Most importantly, what I eat in the water! @bold.snacks always saving me! #momentobold #nazare #lucasfink","Mostrando minha rotina em Nazaré pra minha namorada. O principal, o que eu como na agua! @bold.snacks sempre salvando! #momentobold #nazare #lucasfink",1,146200,30,1640291878
453,7045369027308391685,2021-12-24,Wipe com jet e tudo!!! 🤯🤯🤯😳😳😳 #wipeout #jetskivideos #jetski #bigwaves #towin,Wipe com jet e tudo!!! 🤯🤯🤯😳😳😳 #wipeout #jetskivideos #jetski #bigwaves #towin,0,79200,10,1640377806
454,7045789176817634566,2021-12-25,Christmas session!! 🎅🔥🤯🔥 #skimboard #natal #christmas #skimboarding #lucasfink #fyp #fyyyy #viral,Sessão natalina!! 🎅🔥🤯🔥 #skimboard #natal #christmas #skimboarding #lucasfink #fyp #fyyyy #viral,1,35900,19,1640475630
455,7046845919588830469,2021-12-28,New adventure in Spain since there was no swell!! #skimboarding #snow #snowboarding #novasaventuras #tiktokradical #viciadoemadrenalina #skim,Aventura nova na Espanha já que não estava dando onda!! #skimboarding #snow #snowboarding #novasaventuras #tiktokradical #viciadoemadrenalina #skim,1,39600,50,1640721672
456,7047339963435781381,2021-12-30,Little skim session the other day here in Portugal… #skimboarding #tiktokradical #viciadoemadrenalina #skim #lucasfink #vaipro #viral,Sessionzinha de skim um dia desses aqui em Portugal… #skimboarding #tiktokradical #viciadoemadrenalina #skim #lucasfink #vaipro #viral,1,51900,15,1640836701
457,7048360003585068293,2022-01-01,Happy new year with my soul washed clean in Mediterranean waters!! #marmediterraneo #anonovo #feliz2022 #lucasfink #FelizAnoNovo,Feliz ano novo de alma lavada em águas mediterrâneas!! #marmediterraneo #anonovo #feliz2022 #lucasfink #FelizAnoNovo,1,48200,19,1641074197
458,7049765831970098438,2022-01-05,Going full savage on the #skimboard at #Nazaré 🤪 #fyp #fy #surf #portugal #brasil #malvadao3 #malvadao,Malvadão de #skimboard em #Nazaré 🤪 #fyp #fy #surf #portugal #brasil #malvadao3 #malvadao,1,70800,53,1641401517
459,7050081279659740422,2022-01-06,That's a BARREL for anyone who doesn't know 🤪 This is a BARREL if you don’t know 😜 #fy #fyy #fyp #surf #surfista #surfer #barrel #waves,Isso é um TUBO pra quem não sabe 🤪 This is a BARREL if you don’t know 😜 #fy #fyy #fyp #surf #surfista #surfer #barrel #waves,1,78500,20,1641474963
460,7050629916752317701,2022-01-08,Is it sunset or sunrise? 🧐 #fy #fyy #fyp #sunset #sunrise #sol #natureza #praia #ondas #skimboard,É por do sol ou nascer do sol? 🧐 #fy #fyy #fyp #sunset #sunrise #sol #natureza #praia #ondas #skimboard,1,85100,14,1641602703
461,7051269091033746694,2022-01-09,That friendly little homegrown wave that still gives you a scare at the end 😂 Paddling on my @exileskimboards #skimboarding #surfing #wipeout #fail #fy #fyy #fyp,Aquela ondinha de cria que te dá um sustinho no final 😂 Paddling on my @exileskimboards #skimboarding #surfing #wipeout #fail #fy #fyy #fyp,1,151300,14,1641751522
462,7051558168954014982,2022-01-10,SICKO MODE VIBES 🚨🆘 Almost died on a jetski in the biggest waves in the world! #fy #fyy #fyp #foryou #wipeout #fail #jetski #surf #viral #sports,PIQUE SICKO MODE 🚨🆘 Quase morri de jetski nas maiores ondas do mundo! #fy #fyy #fyp #foryou #wipeout #fail #jetski #surf #viral #sports,1,10900000,46,1641818829
463,7051943500979522822,2022-01-11,A relationship without messing around isn't a healthy relationship 😂🤪 #fy #fyy #fyp #foryou #namorada #riodejaneiro #viral #engraçado #zueira,Um relacionamento sem zueiras não é um relacionamento saudável 😂🤪 #fy #fyy #fyp #foryou #namorada #riodejaneiro #viral #engraçado #zueira,1,128700,21,1641908546
464,7052415501355584774,2022-01-12,#resposta to @gucardozoshow for sure that day was the biggest joy of the year! I caught the biggest waves of my life! #skimbord #fyp #bigwave #nazare #f,#resposta a @gucardozoshow com certeza esse dia foi a maior alegria do ano! Peguei as maiores ondas da minha vida! #skimbord #fyp #bigwave #nazare #f,1,73400,22,1642018441
465,7052849528268967173,2022-01-14,Just cruising the small stuff lol #fy #fyy #fyp #foryou #viral #surf #surfing #skimboard,Só de marola rsrsrs #fy #fyy #fyp #foryou #viral #surf #surfing #skimboard,1,88800,15,1642119497
466,7053055936012832005,2022-01-14,@Felipe Gustavo going wild at the @redbullbr party 😂😂 #fy #fyp #funny #party #redbull #rap,@Felipe Gustavo metendo o louco na festa da @redbullbr 😂😂 #fy #fyp #funny #party #redbull #rap,1,29400,51,1642167555
467,7053074590385343749,2022-01-14,Comment below if you're into this kind of fun 🤪 #fy #fyy #fyp #viral #foryou #jump #outdoor #natura #ocean,Comenta aí quem gosta dessa brincadeira 🤪 #fy #fyy #fyp #viral #foryou #jump #outdoor #natura #ocean,1,109300,7,1642171898
468,7053443767814212869,2022-01-15,That’s what we do for fun 😂🤪 We really do this for fun hahaha @Kai Lenny @Lucas Chumbo #fy #fyy #fyp #foryou #viral #fail #wipeout #dangerous,That’s what we do for fun 😂🤪 A gente faz isso por diversão kkkk @Kai Lenny @Lucas Chumbo #fy #fyy #fyp #foryou #viral #fail #wipeout #dangerous,1,95000,104,1642257854
469,7053801147378846982,2022-01-16,That one was NASTY huh 🚀🤯 #fy #foryou #fyp #fyy #viral #radical #sports #surfing #skimboard,Essa foi BRABA ein 🚀🤯 #fy #foryou #fyp #fyy #viral #radical #sports #surfing #skimboard,1,36500,12,1642341063
470,7053922753228950790,2022-01-16,Fast and Furious style ride on my @exileskimboards #skimboard 🚀 #fy #fyp #fyy #foryou #viral #sports #xgamesmode,Rolézinho velozes e furiosos no meu #skimboard da @exileskimboards 🚀 #fy #fyp #fyy #foryou #viral #sports #xgamesmode,1,56400,10,1642369376
471,7054240408536108293,2022-01-17,First time on a #Skimboard for @gui_khury 🤯 and he killed it 🚀 Team @redbullbr #fy #fyy #fyp #foryou #challenge #viral #surfing #beach,Primeira vez do @gui_khury no #Skimboard 🤯 e ele mandou muito bem 🚀 Equipe @redbullbr #fy #fyy #fyp #foryou #challenge #viral #surfing #beach,1,125700,33,1642443335
472,7054603027314986245,2022-01-18,Looked like he was gonna drown but he ended up showing off lol 😂🤯 #fy #fyp #fyy #foryou #funny #viral #almosfail #skimboard #surfing #jetski,Parecia que ia se afogar mas no final tirou onda kkkk 😂🤯 #fy #fyp #fyy #foryou #funny #viral #almosfail #skimboard #surfing #jetski,1,1100000,22,1642527765
473,7054635628813716741,2022-01-18,This kid is going to revolutionize #skimboarding 🤯 Esse mlk é meu ídolo 👏 #fy #fyy #fyp #foryou #viral #inspiration #sports #legend,This kid is going to revolutionize #skimboarding 🤯 Esse mlk é meu ídolo 👏 #fy #fyy #fyp #foryou #viral #inspiration #sports #legend,0,121800,17,1642535355
474,7055089161593687301,2022-01-20,Epic days at the #Skimboard school ❤️‍🔥 #fy #fyp #foryou #tutorial #howto #beach #nature #sports,Altos dias na escolinha de #Skimboard ❤️‍🔥 #fy #fyp #foryou #tutorial #howto #beach #nature #sports,1,2200000,21,1642640952
475,7055396854023933190,2022-01-20,The #skimboard school is on fire 🍇🤩 These kids are too gooood #fy #fyp #foryou #viral #surf #praia #playa #beach,A escolinha de #skimboard tá uma uva 🍇🤩 A mulecada tá demaissss #fy #fyp #foryou #viral #surf #praia #playa #beach,1,124300,43,1642712591
476,7055681248743689477,2022-01-21,Let's protect nature 💚♻️ The beach is so dirty this summer 😭🥲 #fy #fyp #foryou #natureza #riodejaneiro #eco #praia,Vamos preservar a natureza 💚♻️ Praia muito suja nesse verão 😭🥲 #fy #fyp #foryou #natureza #riodejaneiro #eco #praia,1,30200,33,1642778807
477,7056105355608198406,2022-01-22,Arriving at the beach VS Leaving the beach 🤪 #fy #fyy #fyp #foryou #viral #surfista #skimboard #riodejaneiro #praia #verao,Chegando na praia VS Saindo da praia 🤪 #fy #fyy #fyp #foryou #viral #surfista #skimboard #riodejaneiro #praia #verao,1,67000,14,1642877552
478,7056556518031871237,2022-01-24,"Blue sky, blazing sun, salt water, perfect beach day and a #skimboard session 🙏 I love all of it #fy #fyp #foryou #riodejaneiro #viral #surfista","Céu azul, solzão, água salgada, mó praião e rolé de #skimboard 🙏 Amo muito tudo isso #fy #fyp #foryou #riodejaneiro #viral #surfista",1,49000,13,1642982598
479,7056906370129480965,2022-01-24,RJ 021 is looking sweet 🍇 pure local essence 🤝 #fy #fyp #foryou #riodejaneiro #tiktokbr #sunset #ipanema #decria,RJ 021 tá uma uva 🍇 essência de cria 🤝 #fy #fyp #foryou #riodejaneiro #tiktokbr #sunset #ipanema #decria,1,73800,13,1643064054
480,7057063222897167621,2022-01-25,Already started the day at the spot!! #skimboard #skimboarding #bomdia #fyp #foryou #viral #fyy #piquezindoscria,Já comecei o dia no piquezin!! #skimboard #skimboarding #bomdia #fyp #foryou #viral #fyy #piquezindoscria,1,149700,6,1643100576
481,7057289034267200773,2022-01-25,Just cruising on the small stuff lol 🤪✌️#fyy #foryou #fy #fyp #skimboarding #skateboard #surfing #havingfun #beach #nature #lifestyle,Só de marola rsrs 🤪✌️#fyy #foryou #fy #fyp #skimboarding #skateboard #surfing #havingfun #beach #nature #lifestyle,1,946700,13,1643153150
482,7057608697924570374,2022-01-26,Epic days at the #skimboard school 🤩 #fy #fyy #fyp #kids #viral #tutorial #howto #surf #beach #tiktokbr,Altos dias na escolinha de #skimboard 🤩 #fy #fyy #fyp #kids #viral #tutorial #howto #surf #beach #tiktokbr,1,50300,30,1643227576
483,7057676045448793349,2022-01-27,A day at my #skimboard school 😍🙌❤️✨ #fy #fyp #fyy #foryou #surfing #surf #praia #riodejaneiro #carioca #sports,Um dia na minha escolinha de #skimboard 😍🙌❤️✨ #fy #fyp #fyy #foryou #surfing #surf #praia #riodejaneiro #carioca #sports,1,99700,73,1643243258
484,7057950378863660293,2022-01-27,Do you believe in miracles? I do lol what an epic video 🤣🤪🤯😭😱 #fy #fyp #fyy #foryou #viral #fail #sports #epic #gopro @GoPro,Você acredita em milagres? Eu sim kkkk que vídeo épico 🤣🤪🤯😭😱 #fy #fyp #fyy #foryou #viral #fail #sports #epic #gopro @GoPro,1,37400,44,1643307130
485,7058031001666145542,2022-01-27,The boss of #skimboard 😘 #fy #fyp #foryou #viral #chefin #riodejaneiro #surfista #surfing #sports #praia,Chefin do #skimboard 😘 #fy #fyp #foryou #viral #chefin #riodejaneiro #surfista #surfing #sports #praia,1,862900,16,1643325902
486,7058378337109953798,2022-01-28,@3sskaters_oficial taking a shot at #skimboard 😂🤩 #fy #fyp #foryou #fyy #viral #fail #wipeout #surfing #skate #3sskaters,@3sskaters_oficial se arriscando no #skimboard 😂🤩 #fy #fyp #foryou #fyy #viral #fail #wipeout #surfing #skate #3sskaters,1,140800,19,1643406772
487,7058676870778244357,2022-01-29,"TAKE THIS ONE THEN, it was mystical ✨ 🔥 🚀 #fy #foryou #fyy #fyp #skimboard #surfing #sunrise #epic #viral","PEGA ESSA ENTÃO, foi mística ✨ 🔥 🚀 #fy #foryou #fyy #fyp #skimboard #surfing #sunrise #epic #viral",1,27200,7,1643476280
488,7058780733178957061,2022-01-29,God protected me on that one 🙏😭😱 #fy #fyp #foryou #wipeout #fail #skimboarding #surfing,Deus me protegeu nessa 🙏😭😱 #fy #fyp #foryou #wipeout #fail #skimboarding #surfing,1,72800,9,1643500462
489,7059161682102209798,2022-01-31,Just messing around lol idk why but I loved this video 🤪❤️ #fy #foryou #fyp #viral #fyy #skimboard #surfing #tricks #sports #radical,Só na brincadeirinha rsrsrs seila porque mas amei esse vídeo 🤪❤️ #fy #foryou #fyp #viral #fyy #skimboard #surfing #tricks #sports #radical,1,135500,20,1643589159
490,7059402762198551814,2022-01-31,Enjoying #Verao with my #skimboard in Rio de Janeiro 🍇 🤪 #fy #fyp #foryou #invejoso #surfing #sports @exileskimboards @redbullbr @furiaesports,Curtindo o #Verao com meu #skimboard no Rio de Janeiro 🍇 🤪 #fy #fyp #foryou #invejoso #surfing #sports @exileskimboards @redbullbr @furiaesports,1,96000,18,1643645290
491,7059757030562663686,2022-02-01,"Getting barreled is like getting a kiss from god, as Andy Irons used to say 🙏✨💙 #fy #fyp #foryou #surfing #skimboard #skimboarding","Pegar tubo é tipo receber um beijo de deus, já dizia Andy Irons 🙏✨💙 #fy #fyp #foryou #surfing #skimboard #skimboarding",1,160100,7,1643727775
492,7059914775005842694,2022-02-02,Ever been snowboarding?! Come with me then 💙🥶❄️⛄️ #fy #fyy #fyp #foryou #snow #snowboard #snowboarding #sports,Já deu um rolé de Snowboard?! Vem comigo então 💙🥶❄️⛄️ #fy #fyy #fyp #foryou #snow #snowboard #snowboarding #sports,1,13100,50,1643764503
493,7060092846853967109,2022-02-02,#dueto with @canaloff DON'T MISS #DIARIONOHAVAI 🏄‍♂️💙 Canal Off is showing everything going on behind the scenes at the mecca of world #surf 🙏,#dueto com @canaloff NÃO DEIXEM DE ACOMPANHAR O #DIARIONOHAVAI 🏄‍♂️💙 O Canal Off tá mostrando tudo que rola nos bastidores da meca do #surf mundial 🙏,1,11800,30,1643805963
494,7060210760605109510,2022-02-02,A day to GIVE THANKS and a day to CARE 🙏💙💚♻️ 02/02/2022 #fy #fyp #foryou #fyy #gratidao #praia #yemanja #riodejaneiro #carioca,Dia de AGRADECER e Dia de CUIDAR 🙏💙💚♻️ 02/02/2022 #fy #fyp #foryou #fyy #gratidao #praia #yemanja #riodejaneiro #carioca,1,26300,25,1643833417
495,7060484183306587397,2022-02-03,"#publicidade Sick job I did for @Motorola Brasil 🤝🔥 this insane video was shot on the MOTO G 200 , the footage came out WILD ✨ #fy #fyp #foryou #publi #riodejaneiro #verao #lifestyle","#publicidade Trabalho irado que fiz pra @Motorola Brasil 🤝🔥 esse vídeo brabo foi gravado com o MOTO G 200 , as imagems ficaram BIZARRAS ✨ #fy #fyp #foryou #publi #riodejaneiro #verao #lifestyle",1,21900,57,1643897078
496,7060571476285607173,2022-02-03,Causing chaos in the hotel pool 🤪😂 #fy #fyp #foryou #fyy #brincadeiradecriança #piscina #skimboard #funny,Causando na piscininha do hotel 🤪😂 #fy #fyp #foryou #fyy #brincadeiradecriança #piscina #skimboard #funny,1,109100,17,1643917402
497,7060836610203471109,2022-02-04,"The fun is unlimited at this place 🤪 HOT ZONE at Barra Shopping, who's been? #fy #fyp #funny #fun #viral #dreams #shopping #games","Nesse lugar a diversão é ilimitada 🤪 HOT ZONE do Barra Shopping, quem já foi? #fy #fyp #funny #fun #viral #dreams #shopping #games",1,99800,22,1643979134
498,7060950220921769221,2022-02-04,Like a boss or nah ?! 🤪🔥🚀 #fy #fyy #fyp #foryou #viral #skimboard #espiritoolimpico @exileskimboards,Like a boss or nah ?! 🤪🔥🚀 #fy #fyy #fyp #foryou #viral #skimboard #espiritoolimpico @exileskimboards,0,42200,14,1644005586
499,7061288179407539462,2022-02-05,And this is why I believe in Santa Claus 🎅 😂 #fy #foryou #fyp #fyy #viral #epic #skimboarding #surfing #bigwave #sports,E é por isso que eu acredito em Papai Noel 🎅 😂 #fy #foryou #fyp #fyy #viral #epic #skimboarding #surfing #bigwave #sports,1,31600,25,1644084272
500,7061649082246352133,2022-02-06,Testing out the MOTO G 200 phone filming my #skimboard friends 🤩 @motorolabrasil #fy #fyp #foryou #riodejaneiro #praia #carioca,Testando o telefone MOTO G 200 filmando os amigos de #skimboard 🤩 @motorolabrasil #fy #fyp #foryou #riodejaneiro #praia #carioca,1,26000,44,1644168302
501,7061976872254573830,2022-02-07,One of the best waves I've ever caught on a #skimboard in my LIFE 🙏🔥 like and comment for part 2 #fy #fyp #foryou #fyy #surfing #wave #epic #viral,Uma das melhores ondas que já peguei de #skimboard na minha VIDA 🙏🔥 curte e comenta pra parte 2 #fy #fyp #foryou #fyy #surfing #wave #epic #viral,1,16300,60,1644244622
502,7062150541232606469,2022-02-08,Riding the ripples in traffic. Best comment wins a prize 🤪 #fy #fyp #funny #viralbr #tiktok #dreams,Marolando no trânsito. Melhor comentário vai ganhar um prêmio 🤪 #fy #fyp #funny #viralbr #tiktok #dreams,1,19500,15,1644285058
503,7062317823908908294,2022-02-08,And that celebration? 😂😂😂 deserved more points than the wave 🤪🤪🤪 #fy #fyy #fyp #foryou #skimboarding #surfing #barrel #wave,E a comemoração? 😂😂😂 mereceu mais pontos que a onda 🤪🤪🤪 #fy #fyy #fyp #foryou #skimboarding #surfing #barrel #wave,1,24200,20,1644324006
504,7062728019588173061,2022-02-09,Who else starts the day with this vibe?! 🚀🏆 #fy #fyp #foryou #fyy #goodvibes #bomdia #riodejaneiro,Quem aí começa o dia nessa vibe?! 🚀🏆 #fy #fyp #foryou #fyy #goodvibes #bomdia #riodejaneiro,1,17300,27,1644419512
505,7062759344382676230,2022-02-09,PURE JOYYYYYY 🤪 #fy #fyp #foryou #fyy #skimboarding #skimboard #surf #alegria #felicidade #viral #happy @exileskimboards @redbullbr,ALEGRIAAAAAA 🤪 #fy #fyp #foryou #fyy #skimboarding #skimboard #surf #alegria #felicidade #viral #happy @exileskimboards @redbullbr,1,35400,10,1644426805
506,7063100727522053382,2022-02-10,Always around 🏡❤️ #skimboard #skimboarding #surfing #fy #fyp #foryou #charliebrownjr,Sempre na área 🏡❤️ #skimboard #skimboarding #surfing #fy #fyp #foryou #charliebrownjr,1,17900,14,1644506290
507,7063158187159014662,2022-02-10,Who wants to learn #Skimboard with me? Then PULL UP TO THE LIVE 🍇🍯 #verao #fyp #fy #fyy #surf #praia #esportes,Quem quer aprender #Skimboard comigo? Então BROTA NA LIVE 🍇🍯 #verao #fyp #fy #fyy #surf #praia #esportes,1,2400000,14,1644519668
508,7063161085645409542,2022-02-10,Wanna learn #Skimboard with me?! THEN DON'T MISS IT BECAUSE TOMORROW THERE'S A LIVE LESSON RIGHT HERE ON TIKTOK! February 11th at 10 in the morning I'm going LIVE from the beach! See you there 🤩🍇🍯 #verao #fy #fyy #fyp #tutorial #praia #esportes,Quer aprender #Skimboard comigo?! ENTÃO APROVEITA PORQUE AMANHÃ TEM AULA AO VIVO AQUI NO TIKTOK! Dia 11 de Fevereiro as 10 da manhã vou entrar AO VIVO lá da praia! Espero vocês 🤩🍇🍯 #verao #fy #fyy #fyp #tutorial #praia #esportes,1,25500,21,1644520343
509,7063505454571244806,2022-02-11,#Skimboard is so crazy 🤯🤪🤣 #fy #fyp #foryou #fyy #praia #verao #fail #epic,#Skimboard é muito louco 🤯🤪🤣 #fy #fyp #foryou #fyy #praia #verao #fail #epic,1,697200,18,1644600522
510,7063511123013799173,2022-02-11,The live #Skimboard lesson was a success! Thank you @tiktokbrasil for the opportunity 🙏❤️ #verao #praia #esportes #kids #fun,A aula de #Skimboard Ao Vivo foi um sucesso! Obrigado @tiktokbrasil pela oportunidade 🙏❤️ #verao #praia #esportes #kids #fun,1,66900,39,1644601842
511,7063801824276450566,2022-02-12,A masterpiece of advertising 😭🤪 #HOTZONE IS UNLIMITED FUN AND EVERY WEDNESDAY IT'S 50% OFF 😱 #fy #foryou #fyp #diverao #funny #shopping #viral #riodejaneiro,Obra prima da publicidade 😭🤪 #HOTZONE É DIVERSÃO ILIMITADA E TODA 4a FEIRA TEM DESCONTO DE 50% 😱 #fy #foryou #fyp #diverao #funny #shopping #viral #riodejaneiro,1,17800,31,1644669526
512,7064603041634290949,2022-02-14,So much fun at the #skimboard school 🙏❤️ @jh.barreto #skimboarding #surfing #sports #fun #fy #fyy #fyp #verao,Muita diversão na escolinha de #skimboard 🙏❤️ @jh.barreto #skimboarding #surfing #sports #fun #fy #fyy #fyp #verao,1,29300,15,1644856074
513,7064637384016678150,2022-02-14,Big day in RJ 🍇 doing a job for @Lev Bicicletas and @canaloff 🙏 #fy #fyy #fyp #skimboard #surfista #carioca #verao #riodejaneiro,Diazão no RJ 🍇 fazendo um trabalho para @Lev Bicicletas e @canaloff 🙏 #fy #fyy #fyp #skimboard #surfista #carioca #verao #riodejaneiro,1,14000,9,1644864070
514,7065127600452078854,2022-02-16,The song matched the video 💖 sunset at the beach and #skimboard with the friends I love 🙏 #fy #fyp #foryou #fyy #verao #pordosol #praia #surfista #lifestyle #vibe,A música combinou com o vídeo 💖 por do sol na praia e #skimboard com os amigos que amo 🙏 #fy #fyp #foryou #fyy #verao #pordosol #praia #surfista #lifestyle #vibe,1,27500,28,1644978209
515,7065304553574370565,2022-02-16,Do you know #Skimboard? Tag a friend who'd love this sport 🙏❤️ #fy #fyy #foryou #fyp #surf #skate #esporte #sports,Você conhece o #Skimboard? Marca um amigo que vai gostar desse esporte 🙏❤️ #fy #fyy #foryou #fyp #surf #skate #esporte #sports,1,151600,10,1645019408
516,7065451568329411846,2022-02-16,"Bad wave good vibes 🤷‍♂️ coming back from a nasty knee injury, pray for me 🙏 #fy #fyy #fyp #foryou #skimboard #surfing #injury #letsgo #goodvibes","Onda ruim vibe boa 🤷‍♂️ voltando de uma lesão chata no joelho, orem por mim 🙏 #fy #fyy #fyp #foryou #skimboard #surfing #injury #letsgo #goodvibes",1,23600,8,1645053637
